ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
147,Windham Brannon,Accounting / CPA Firms,Regional CPA,Atlanta,GA,200,$25M-$50M,Client portal AI,$8K-$15K,Managing Partner,www.windhambrannon.com,3,Atlanta-based boutique
148,LBMC,Accounting / CPA Firms,Regional CPA,Brentwood,TN,600,$100M-$200M,Tax prep automation,$10K-$20K,VP of Technology,www.lbmc.com,3,Tennessee's largest
149,Mayer Hoffman McCann,Accounting / CPA Firms,Mid-Size CPA,Leawood,KS,800,$100M-$200M,Audit analytics AI,$10K-$20K,CTO,www.mhmcpa.com,3,Global affiliation; 30 offices
150,Freed Maxick,Accounting / CPA Firms,Regional CPA,Buffalo,NY,300,$25M-$50M,Tax automation AI,$8K-$15K,Director of IT,www.freedmaxick.com,3,Western NY leader
151,Clark Nuber,Accounting / CPA Firms,Regional CPA,Bellevue,WA,150,$25M-$50M,Client onboarding AI,$8K-$15K,Managing Partner,www.clarknuber.com,3,Pacific NW focused
152,Henry & Horne,Accounting / CPA Firms,Regional CPA,Tempe,AZ,150,$25M-$50M,Tax prep AI,$8K-$15K,Director of Operations,www.hhcpa.com,3,Arizona focused
153,Kaufman Rossin,Accounting / CPA Firms,Regional CPA,Miami,FL,500,$50M-$100M,Audit workflow AI,$10K-$20K,CTO,www.kaufmanrossin.com,3,South Florida leader
154,Friedman,Accounting / CPA Firms,Regional CPA,New York,NY,400,$50M-$100M,Tax automation AI,$8K-$20K,Director of IT,www.friedmanllp.com,3,NYC-based
155,Grassi,Accounting / CPA Firms,Regional CPA,Jericho,NY,350,$50M-$100M,Client portal AI,$8K-$20K,Managing Partner,www.grassicpas.com,3,Long Island based
156,Anchin,Accounting / CPA Firms,Regional CPA,New York,NY,350,$50M-$100M,Audit AI,$8K-$20K,Director of Technology,www.anchin.com,3,NYC boutique firm
157,Lutz,Accounting / CPA Firms,Regional CPA,Omaha,NE,350,$25M-$50M,Tax prep automation,$8K-$15K,Director of IT,www.lutz.us,3,Nebraska leader
158,Yeo & Yeo,Accounting / CPA Firms,Regional CPA,Saginaw,MI,300,$25M-$50M,Client onboarding AI,$8K-$15K,Managing Partner,www.yeoandyeo.com,3,Michigan focused
159,Berdon,Accounting / CPA Firms,Regional CPA,New York,NY,400,$50M-$100M,Tax automation AI,$8K-$20K,Director of IT,www.berdonllp.com,3,NYC real estate focus
160,Dixon Hughes Goodman,Accounting / CPA Firms,Mid-Size CPA,Charlotte,NC,2000,$200M-$500M,Audit analytics AI,$10K-$25K,CTO,www.dhg.com,3,Now part of Forvis Mazars
161,Turner Construction,Construction / General Contractors,General Contractor,New York,NY,10000,$10B+,Project management AI,$30K-$50K,Chief Technology Officer,www.turnerconstruction.com,5,Largest US GC by revenue
162,DPR Construction,Construction / General Contractors,General Contractor,Redwood City,CA,9000,$5B+,Estimating automation AI,$25K-$50K,VP of Innovation,www.dpr.com,5,Self-perform leader
163,HITT Contracting,Construction / General Contractors,General Contractor,Falls Church,VA,1800,$1B+,Safety compliance AI,$20K-$35K,Director of Technology,www.hfrcontractor.com,4,DC area leader
164,Gilbane Building Company,Construction / General Contractors,General Contractor,Providence,RI,3000,$5B+,Project management AI,$25K-$50K,CTO,www.gilbaneco.com,5,Family-owned since 1870
165,Holder Construction,Construction / General Contractors,General Contractor,Atlanta,GA,1500,$1B+,Estimating automation,$15K-$30K,VP of Operations,www.holderconstruction.com,4,Southeast leader
166,Clayco,Construction / General Contractors,Design-Build,St. Louis,MO,2500,$5B+,Project scheduling AI,$25K-$40K,Chief Innovation Officer,www.claycorp.com,5,Design-build leader
167,Hensel Phelps,Construction / General Contractors,General Contractor,Greeley,CO,4000,$5B+,Safety compliance AI,$25K-$50K,Director of Innovation,www.henselphelps.com,5,Employee-owned
168,McCarthy Building,Construction / General Contractors,General Contractor,St. Louis,MO,6000,$5B+,BIM AI integration,$25K-$50K,CTO,www.mccarthy.com,5,Employee-owned; 150+ years
169,Skanska USA,Construction / General Contractors,General Contractor,New York,NY,7500,$5B+,Project management AI,$30K-$50K,VP of Digital,www.usa.skanska.com,5,Swedish parent; US operations
170,Clark Construction,Construction / General Contractors,General Contractor,Bethesda,MD,4500,$5B+,Estimating AI,$25K-$50K,Chief Technology Officer,www.clarkconstruction.com,5,Mid-Atlantic leader
171,Mortenson Construction,Construction / General Contractors,General Contractor,Minneapolis,MN,5000,$5B+,Safety analytics AI,$25K-$50K,VP of Innovation,www.mortenson.com,5,Employee-owned; energy focus
172,JE Dunn Construction,Construction / General Contractors,General Contractor,Kansas City,MO,4000,$5B+,Project management AI,$25K-$40K,CTO,www.jedunn.com,5,Employee-owned
173,Brasfield & Gorrie,Construction / General Contractors,General Contractor,Birmingham,AL,3500,$5B+,Estimating automation,$20K-$40K,Director of Technology,www.brasfieldgorrie.com,4,Southeast leader
174,Robins & Morton,Construction / General Contractors,General Contractor,Birmingham,AL,2000,$1B+,Safety compliance AI,$15K-$30K,VP of IT,www.robinsmorton.com,4,Healthcare construction focus
175,The Walsh Group,Construction / General Contractors,General Contractor,Chicago,IL,8000,$5B+,Project scheduling AI,$25K-$50K,Chief Innovation Officer,www.walshgroup.com,5,Infrastructure focused
176,Barton Malow,Construction / General Contractors,General Contractor,Southfield,MI,2500,$1B+,BIM integration AI,$15K-$30K,Director of Innovation,www.bartonmalow.com,4,Employee-owned
177,Webcor Builders,Construction / General Contractors,General Contractor,San Francisco,CA,1500,$1B+,Estimating AI,$15K-$30K,VP of Technology,www.webcor.com,4,Bay Area leader
178,Swinerton,Construction / General Contractors,General Contractor,San Francisco,CA,4000,$5B+,Project management AI,$25K-$40K,CTO,www.swinerton.com,5,Employee-owned; 135+ years
179,Sundt Construction,Construction / General Contractors,General Contractor,Tempe,AZ,2500,$1B+,Safety analytics AI,$15K-$30K,Director of IT,www.sundt.com,4,Employee-owned; Southwest
180,Hunt Construction,Construction / General Contractors,General Contractor,Indianapolis,IN,1500,$1B+,Estimating automation,$15K-$25K,VP of Operations,www.huntconstructiongroup.com,4,Stadium specialist
181,Ryan Companies,Construction / General Contractors,Design-Build,Minneapolis,MN,2000,$1B+,Project management AI,$15K-$30K,Chief Technology Officer,www.ryancompanies.com,4,Development + construction
182,Structure Tone,Construction / General Contractors,Interiors/GC,New York,NY,3500,$5B+,Scheduling AI,$20K-$40K,CTO,www.structuretone.com,4,Interior construction leader
183,Balfour Beatty US,Construction / General Contractors,General Contractor,Dallas,TX,3000,$1B+,Safety compliance AI,$15K-$30K,VP of Innovation,www.balfourbeattyus.com,4,UK parent; US operations
184,Lendlease US,Construction / General Contractors,General Contractor,New York,NY,2000,$1B+,BIM AI integration,$20K-$35K,Director of Digital,www.lendlease.com,4,Australian parent; US ops
185,Suffolk Construction,Construction / General Contractors,General Contractor,Boston,MA,3000,$5B+,Project management AI,$25K-$50K,Chief Technology Officer,www.suffolk.com,5,Tech-forward builder
186,Consigli Construction,Construction / General Contractors,General Contractor,Milford,MA,1500,$1B+,Estimating AI,$15K-$25K,VP of IT,www.consigli.com,4,New England leader
187,Messer Construction,Construction / General Contractors,General Contractor,Cincinnati,OH,1500,$1B+,Safety analytics AI,$15K-$25K,Director of Technology,www.messer.com,4,Employee-owned; Ohio Valley
188,Shawmut Design and Construction,Construction / General Contractors,General Contractor,Boston,MA,1200,$1B+,Scheduling AI,$15K-$25K,CTO,www.shawmut.com,4,100% employee-owned
189,Pepper Construction,Construction / General Contractors,General Contractor,Chicago,IL,1000,$500M-$1B,BIM integration AI,$10K-$25K,VP of Innovation,www.pepperconstruction.com,3,Midwest focused
190,W.M. Jordan Company,Construction / General Contractors,General Contractor,Newport News,VA,600,$500M-$1B,Project management AI,$10K-$20K,Director of IT,www.wmjordan.com,3,Virginia focused
191,Choate Construction,Construction / General Contractors,General Contractor,Atlanta,GA,800,$500M-$1B,Estimating automation,$10K-$20K,VP of Operations,www.choateco.com,3,Southeast focused
192,Harvey-Cleary Builders,Construction / General Contractors,General Contractor,Houston,TX,300,$200M-$500M,Project scheduling AI,$8K-$20K,Director of Operations,www.harvey-cleary.com,3,Texas focused
193,Alston Construction,Construction / General Contractors,General Contractor,Phoenix,AZ,400,$500M-$1B,Safety compliance AI,$10K-$20K,VP of IT,www.alstonconstruction.com,3,Industrial/distribution focus
194,The Boldt Company,Construction / General Contractors,General Contractor,Appleton,WI,2500,$1B+,Prefab/modular AI,$15K-$30K,Chief Innovation Officer,www.boldt.com,4,Employee-owned
195,Findorff,Construction / General Contractors,General Contractor,Madison,WI,500,$200M-$500M,Project management AI,$8K-$20K,Director of IT,www.findorff.com,3,Wisconsin focused
196,CD Smith Construction,Construction / General Contractors,General Contractor,Fond du Lac,WI,300,$200M-$500M,Estimating AI,$8K-$15K,VP of Operations,www.cdsmith.com,3,Wisconsin focused
197,Miron Construction,Construction / General Contractors,General Contractor,Neenah,WI,1500,$500M-$1B,Safety analytics AI,$10K-$25K,Director of Technology,www.miron-construction.com,3,Employee-owned; Wisconsin
198,Charles Perry Partners,Construction / General Contractors,General Contractor,Gainesville,FL,200,$100M-$200M,Project management AI,$8K-$15K,VP of Operations,www.charlesperry.com,3,Florida focused
199,Austin Commercial,Construction / General Contractors,General Contractor,Dallas,TX,1000,$500M-$1B,BIM integration AI,$10K-$25K,Director of IT,www.austin-ind.com,3,Part of Austin Industries
200,Batson-Cook Company,Construction / General Contractors,General Contractor,West Point,GA,400,$200M-$500M,Estimating automation,$8K-$20K,VP of Operations,www.bfrconstructors.com,3,Southeast focused
201,OLIPOP,eCommerce / DTC Brands,Beverages,Oakland,CA,200,$200M-$500M,Customer service AI,$10K-$25K,VP of E-Commerce,www.drinkolipop.com,4,Functional soda DTC leader
202,Death Wish Coffee,eCommerce / DTC Brands,Coffee,Saratoga Springs,NY,50,$25M-$50M,Customer support AI,$8K-$15K,Director of Operations,www.deathwishcoffee.com,3,Worlds strongest coffee brand
203,Brooklinen,eCommerce / DTC Brands,Home/Bedding,Brooklyn,NY,200,$100M-$200M,Personalization engine AI,$10K-$25K,CTO,www.brooklinen.com,4,DTC bedding leader
204,Warby Parker,eCommerce / DTC Brands,Eyewear,New York,NY,3000,$500M-$1B,Virtual try-on AI,$20K-$40K,Chief Technology Officer,www.warbyparker.com,5,Public DTC brand; retail + online
205,Allbirds,eCommerce / DTC Brands,Footwear,San Francisco,CA,800,$100M-$200M,Inventory automation AI,$10K-$25K,VP of Technology,www.allbirds.com,4,Sustainable footwear brand
206,Glossier,eCommerce / DTC Brands,Beauty,New York,NY,500,$100M-$200M,Customer engagement AI,$10K-$25K,CTO,www.glossier.com,4,DTC beauty pioneer
207,Dollar Shave Club,eCommerce / DTC Brands,Grooming,Marina del Rey,CA,500,$200M-$500M,Subscription AI,$15K-$25K,VP of Engineering,www.dollarshaveclub.com,4,Subscription grooming leader
208,MVMT Watches,eCommerce / DTC Brands,Accessories,Los Angeles,CA,100,$50M-$100M,Customer retention AI,$8K-$20K,Director of E-Commerce,www.mvmt.com,3,Movado subsidiary
209,Casper,eCommerce / DTC Brands,Mattress,New York,NY,400,$500M-$1B,Customer service AI,$15K-$25K,CTO,www.casper.com,4,DTC mattress pioneer
210,Away,eCommerce / DTC Brands,Travel/Luggage,New York,NY,600,$200M-$500M,Customer engagement AI,$10K-$25K,VP of Technology,www.awaytravel.com,4,DTC luggage brand
211,Bombas,eCommerce / DTC Brands,Apparel/Socks,New York,NY,300,$200M-$500M,Inventory automation,$10K-$20K,Director of Technology,www.bombas.com,4,Social mission; $300M+ revenue
212,Rothys,eCommerce / DTC Brands,Footwear,San Francisco,CA,500,$100M-$200M,Personalization AI,$10K-$25K,CTO,www.rothys.com,4,Sustainable footwear
213,ThirdLove,eCommerce / DTC Brands,Apparel/Intimates,San Francisco,CA,200,$50M-$100M,Fit recommendation AI,$8K-$20K,VP of Engineering,www.thirdlove.com,3,AI-powered fit tech
214,Quip,eCommerce / DTC Brands,Oral Care,Brooklyn,NY,100,$50M-$100M,Subscription management AI,$8K-$15K,CTO,www.getquip.com,3,Subscription oral care
215,Hims & Hers Health,eCommerce / DTC Brands,Telehealth/DTC,San Francisco,CA,2000,$1B+,Customer service AI,$20K-$40K,Chief Technology Officer,www.forhims.com,5,Public company; $1B+ revenue
216,Native,eCommerce / DTC Brands,Personal Care,San Francisco,CA,100,$100M-$200M,Customer engagement AI,$8K-$20K,Director of E-Commerce,www.nativecos.com,3,P&G subsidiary
217,Function of Beauty,eCommerce / DTC Brands,Hair Care,New York,NY,200,$100M-$200M,Personalization engine AI,$10K-$20K,CTO,www.functionofbeauty.com,4,Custom hair care
218,Prose,eCommerce / DTC Brands,Hair Care,New York,NY,150,$50M-$100M,Product customization AI,$8K-$20K,VP of Technology,www.prose.com,3,Custom hair care formulas
219,Billie,eCommerce / DTC Brands,Personal Care,New York,NY,80,$50M-$100M,Subscription AI,$8K-$15K,Director of E-Commerce,www.mybillie.com,3,Womens razor brand
220,Hubble Contacts,eCommerce / DTC Brands,Eye Care,New York,NY,100,$50M-$100M,Customer retention AI,$8K-$15K,CTO,www.hubblecontacts.com,3,Subscription contacts
221,BarkBox,eCommerce / DTC Brands,Pet/Subscription,New York,NY,500,$200M-$500M,Customer engagement AI,$10K-$25K,VP of Engineering,www.barkbox.com,4,BARK Inc; public company
222,Chewy,eCommerce / DTC Brands,Pet E-Commerce,Dania Beach,FL,20000,$10B+,Customer service AI,$30K-$50K,Chief Technology Officer,www.chewy.com,5,Largest online pet retailer
223,FabFitFun,eCommerce / DTC Brands,Subscription Box,Los Angeles,CA,300,$200M-$500M,Personalization AI,$10K-$25K,CTO,www.fabfitfun.com,4,Seasonal subscription box
224,Stitch Fix,eCommerce / DTC Brands,Fashion/AI,San Francisco,CA,5000,$1B+,Style recommendation AI,$20K-$40K,Chief Algorithm Officer,www.stitchfix.com,5,AI-powered fashion
225,Italic,eCommerce / DTC Brands,Luxury DTC,Los Angeles,CA,50,$10M-$25M,Inventory management AI,$8K-$15K,CEO,www.italic.com,3,Direct-from-manufacturer
226,TRUFF,eCommerce / DTC Brands,Food/Condiments,Irvine,CA,50,$50M-$100M,Customer engagement AI,$8K-$15K,Director of E-Commerce,www.truff.com,3,Truffle hot sauce brand
227,Fly By Jing,eCommerce / DTC Brands,Food/Condiments,Los Angeles,CA,30,$10M-$25M,Inventory automation,$8K-$12K,CEO,www.flybyjing.com,3,Sichuan-inspired sauces
228,Brightland,eCommerce / DTC Brands,Food/Olive Oil,Los Angeles,CA,20,$5M-$10M,Customer retention AI,$5K-$10K,Founder,www.brightland.co,2,DTC olive oil brand
229,Feat Clothing,eCommerce / DTC Brands,Athleisure,Henderson,NV,50,$10M-$25M,Customer service AI,$5K-$12K,Director of E-Commerce,www.featclothing.com,2,Growing DTC athleisure
230,ASRV,eCommerce / DTC Brands,Athleisure,Carlsbad,CA,50,$10M-$25M,Inventory automation,$5K-$12K,CEO,www.asrv.com,2,Mens athletic brand
231,Bylt Basics,eCommerce / DTC Brands,Apparel,Huntington Beach,CA,50,$10M-$25M,Customer engagement AI,$5K-$12K,Director of Marketing,www.byltbasics.com,2,Basics-focused apparel
232,Lunya,eCommerce / DTC Brands,Sleepwear,Los Angeles,CA,100,$25M-$50M,Personalization AI,$8K-$15K,VP of E-Commerce,www.lunya.co,3,Premium sleepwear
233,Thousand Fell,eCommerce / DTC Brands,Footwear,New York,NY,30,$5M-$10M,Customer retention AI,$5K-$10K,CEO,www.thousandfell.com,2,Recyclable sneakers
234,Bite Toothpaste,eCommerce / DTC Brands,Personal Care,Los Angeles,CA,50,$10M-$25M,Subscription AI,$5K-$12K,Director of Operations,www.bitetoothpastebits.com,2,Sustainable oral care
235,Huron,eCommerce / DTC Brands,Mens Grooming,New York,NY,30,$5M-$10M,Customer engagement AI,$5K-$10K,CEO,www.usehuron.com,2,Mens personal care
236,Wild One,eCommerce / DTC Brands,Pet Products,New York,NY,40,$10M-$25M,Customer service AI,$5K-$12K,Director of E-Commerce,www.wildone.com,2,Modern pet brand
237,Chippin,eCommerce / DTC Brands,Pet Food,New York,NY,20,$5M-$10M,Subscription management AI,$5K-$10K,CEO,www.chippin.com,2,Sustainable pet food
238,The Farmers Dog,eCommerce / DTC Brands,Pet Food,New York,NY,500,$200M-$500M,Customer service AI,$10K-$25K,CTO,www.thefarmersdog.com,4,Fresh dog food subscription
239,MUSH,eCommerce / DTC Brands,Food/Oats,Los Angeles,CA,30,$10M-$25M,Inventory automation,$5K-$12K,Director of Operations,www.eatmush.com,2,Ready-to-eat oats
240,ColourPop,eCommerce / DTC Brands,Beauty,Los Angeles,CA,400,$200M-$500M,Personalization engine AI,$10K-$25K,VP of E-Commerce,www.colourpop.com,4,Affordable DTC beauty
241,Planet Fitness,Fitness / Gym Franchises,Value Gym,Hampton,NH,40000,$1B+,Member retention AI,$25K-$50K,Chief Digital Officer,www.planetfitness.com,5,2400+ locations; NYSE listed
242,Anytime Fitness,Fitness / Gym Franchises,24-Hour Gym,Woodbury,MN,30000,$500M-$1B,Lead nurturing AI,$20K-$40K,VP of Technology,www.anytimefitness.com,5,5000+ locations worldwide
243,Crunch Fitness,Fitness / Gym Franchises,Full-Service Gym,New York,NY,10000,$500M-$1B,Scheduling automation,$15K-$30K,CTO,www.crunch.com,4,450+ locations
244,Golds Gym,Fitness / Gym Franchises,Full-Service Gym,Dallas,TX,5000,$200M-$500M,Member engagement AI,$15K-$30K,VP of Digital,www.goldsgym.com,4,Iconic brand; 700+ locations
245,Orangetheory Fitness,Fitness / Gym Franchises,Boutique Fitness,Boca Raton,FL,15000,$1B+,Member retention AI,$20K-$40K,Chief Technology Officer,www.orangetheory.com,5,1500+ studios
246,F45 Training,Fitness / Gym Franchises,Boutique Fitness,Austin,TX,5000,$200M-$500M,Scheduling AI,$10K-$25K,CTO,www.f45training.com,4,1750+ studios globally
247,Club Pilates,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,8000,$200M-$500M,Lead nurturing AI,$10K-$25K,VP of Technology,www.clubpilates.com,4,Xponential brand; 800+ studios
248,HOTWORX,Fitness / Gym Franchises,Infrared Fitness,Baton Rouge,LA,3000,$100M-$200M,Member retention AI,$8K-$20K,Director of Technology,www.hotworx.net,3,700+ locations
249,Pure Barre,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,5000,$100M-$200M,Scheduling automation,$8K-$20K,VP of Operations,www.purebarre.com,3,Xponential brand; 600+ studios
250,D1 Training,Fitness / Gym Franchises,Athletic Training,Nashville,TN,2000,$50M-$100M,Lead qualification AI,$8K-$15K,Director of Technology,www.d1training.com,3,100+ locations
251,Burn Boot Camp,Fitness / Gym Franchises,Boutique Fitness,Cornelius,NC,3000,$100M-$200M,Member engagement AI,$8K-$20K,VP of Technology,www.burnbootcamp.com,3,350+ locations
252,The Exercise Coach,Fitness / Gym Franchises,Personal Training,Lake Zurich,IL,1000,$25M-$50M,Scheduling AI,$5K-$15K,Director of Operations,www.exercisecoach.com,3,140+ studios
